iter	Logloss
0	0.6494925127
1	0.6117494947
2	0.5832465486
3	0.5584189111
4	0.5357223836
5	0.5179938002
6	0.503521558
7	0.4903621094
8	0.4765968916
9	0.4668917069
10	0.4588411484
11	0.4514220138
12	0.4433219612
13	0.4378121435
14	0.4314143841
15	0.4264590406
16	0.4220873882
17	0.4176852081
18	0.4140343671
19	0.4101103955
20	0.4071130614
21	0.4045829687
22	0.4004434613
23	0.3976543876
24	0.3943365348
25	0.3921551996
26	0.3898291717
27	0.3877143175
28	0.3857743219
29	0.3835143982
30	0.3819672202
31	0.3800806064
32	0.3781921238
33	0.375951484
34	0.3747059647
35	0.3723800393
36	0.3710616037
37	0.3693008729
38	0.3675164697
39	0.3664777151
40	0.3651099491
41	0.3638735328
42	0.3623491344
43	0.3611341858
44	0.3598456663
45	0.3583617265
46	0.3576806069
47	0.3565325123
48	0.355722309
49	0.3547962215
50	0.3538703267
51	0.3523406124
52	0.351397831
53	0.3505860765
54	0.3493944979
55	0.3482041166
56	0.3474077415
57	0.3466699297
58	0.3457101554
59	0.3451728487
60	0.3444087884
61	0.3433682174
62	0.342671713
63	0.3418386053
64	0.341170307
65	0.3407009964
66	0.3400244965
67	0.3390197868
68	0.3383306197
69	0.3368563876
70	0.3361111106
71	0.3357721092
72	0.3349564375
73	0.3345841613
74	0.3341170986
75	0.3333501802
76	0.3324101461
77	0.3315949785
78	0.3304261649
79	0.3301334287
80	0.3297730278
81	0.3292676987
82	0.3285399157
83	0.3279979626
84	0.3273086877
85	0.3267823415
86	0.3260549175
87	0.3255564684
88	0.3253286613
89	0.3247338332
90	0.3240909014
91	0.32381098
92	0.3233029814
93	0.3226362456
94	0.3221220241
95	0.3214323968
96	0.3204774272
97	0.3202035887
98	0.3194623767
99	0.3190812513
100	0.3183368258
101	0.3179708022
102	0.3174339537
103	0.3171799087
104	0.3167908172
105	0.3163927158
106	0.3151294369
107	0.314891166
108	0.3139607697
109	0.3137361103
110	0.3134796762
111	0.3127932901
112	0.3120461697
113	0.3117197272
114	0.3115186704
115	0.3108177116
116	0.3104944357
117	0.3100677794
118	0.3098239847
119	0.3093532738
120	0.3085075216
121	0.3081162853
122	0.3077603353
123	0.3069009526
124	0.305888245
125	0.3057305284
126	0.3053595818
127	0.3049348124
128	0.3046717375
129	0.3043697101
130	0.303863336
131	0.3035180701
132	0.3032894613
133	0.3025740052
134	0.3020272596
135	0.3015640123
136	0.301289934
137	0.3010910269
138	0.300696445
139	0.3003821032
140	0.3001124761
141	0.2998733148
142	0.2997184674
143	0.299519745
144	0.2992005375
145	0.2987835135
146	0.2983624947
147	0.2976209604
148	0.2973944285
149	0.2971241482
150	0.2970182341
151	0.296587836
152	0.2962701455
153	0.2958271198
154	0.2952663758
155	0.2948189775
156	0.2945860505
157	0.2942790607
158	0.2939227708
159	0.2936673531
160	0.2930673959
161	0.2927715563
162	0.2924661411
163	0.2918113326
164	0.2916739299
165	0.2913173498
166	0.2903966974
167	0.2901609115
168	0.2898227068
169	0.2896447225
170	0.2891749864
171	0.2888629815
172	0.2886121603
173	0.2883733986
174	0.2881780247
175	0.2880780263
176	0.2873611532
177	0.2872243241
178	0.2870956124
179	0.2870190817
180	0.2867819749
181	0.2865880782
182	0.2864252934
183	0.2863309599
184	0.2861943508
185	0.2860993769
186	0.2857725215
187	0.2856301899
188	0.2854987048
189	0.2852263631
190	0.284772335
191	0.2843327205
192	0.2838301029
193	0.2833291414
194	0.2831448968
195	0.2828239229
196	0.2824871913
197	0.2821374443
198	0.281664072
199	0.2813264683
200	0.2810207611
201	0.2806364024
202	0.2803345973
203	0.2800787124
204	0.2797170515
205	0.2794571781
206	0.2793331168
207	0.2790740227
208	0.2788936135
209	0.2787275945
210	0.2780193319
211	0.2779048976
212	0.2777669364
213	0.2776052643
214	0.2765043077
215	0.2754408611
216	0.2752431074
217	0.2749425747
218	0.2743669226
219	0.2742516814
220	0.2737449413
221	0.2734042782
222	0.2728351918
223	0.2726988765
224	0.2723021765
225	0.2722386105
226	0.2716696823
227	0.2709718508
228	0.2703559643
229	0.2700244224
230	0.269800776
231	0.2694568967
232	0.2691619343
233	0.268744739
234	0.2683701861
235	0.268132298
236	0.2680008722
237	0.2673219126
238	0.2671765572
239	0.266980596
240	0.2666783552
241	0.2662532541
242	0.2661122187
243	0.2657217549
244	0.2653830292
245	0.2651244881
246	0.2648135469
247	0.2645376814
248	0.2643173454
249	0.2640768531
250	0.2639055005
251	0.2636522076
252	0.2634491722
253	0.2633298195
254	0.2630456793
255	0.2628877651
256	0.2623719908
257	0.2622837157
258	0.262119859
259	0.2617729234
260	0.2616528556
261	0.26129332
262	0.2611188473
263	0.2608123878
264	0.260674964
265	0.2605848282
266	0.2603521594
267	0.2601644262
268	0.259661552
269	0.2595682168
270	0.2593994511
271	0.259266371
272	0.2590006373
273	0.2586793283
274	0.2579791374
275	0.2577556018
276	0.2569402713
277	0.2567984034
278	0.2564846557
279	0.2560939373
280	0.2559330368
281	0.2557762764
282	0.2556591878
283	0.2550728274
284	0.2548300729
285	0.2547675111
286	0.254620705
287	0.2541754614
288	0.2539937986
289	0.2536297531
290	0.2534510676
291	0.2531700456
292	0.2530323132
293	0.2529882551
294	0.2527361353
295	0.2525332598
296	0.2522812002
297	0.2521850108
298	0.2518464511
299	0.2517746566
300	0.2516530776
301	0.2515087055
302	0.2512239739
303	0.25097779
304	0.2508446898
305	0.2507340964
306	0.2506457505
307	0.2503681788
308	0.2496528356
309	0.2494145996
310	0.2493769327
311	0.2489969629
312	0.2487879417
313	0.2486765798
314	0.2485550253
315	0.2484163996
316	0.2483371409
317	0.2482513653
318	0.2481604449
319	0.2480716564
320	0.2479749993
321	0.2478844061
322	0.247823338
323	0.2477301933
324	0.2475889219
325	0.2472093828
326	0.2469827346
327	0.2467920167
328	0.2465990142
329	0.2464817294
330	0.2463612759
331	0.2462902131
332	0.2456875703
333	0.2453518256
334	0.2451641328
335	0.2448965509
336	0.244782498
337	0.2442834418
338	0.2439784651
339	0.2439040178
340	0.2436495409
341	0.2435915267
342	0.2431572097
343	0.2429001126
344	0.2427532643
345	0.2427042289
346	0.2421223582
347	0.2420492457
348	0.2418027698
349	0.2416152528
350	0.2415542098
351	0.2414697997
352	0.241243934
353	0.2409263058
354	0.2407634619
355	0.2403184226
356	0.2402368163
357	0.2401831958
358	0.2399138634
359	0.2398559286
360	0.239388262
361	0.2387659763
362	0.2385685161
363	0.2385099388
364	0.2381700396
365	0.2376807292
366	0.2368449439
367	0.2363504693
368	0.2358651402
369	0.2355122408
370	0.234903697
371	0.2342182056
372	0.2340242612
373	0.233651863
374	0.2333567502
375	0.232974999
376	0.2324972791
377	0.2323322386
378	0.2322344404
379	0.2320455076
380	0.231882709
381	0.2317242847
382	0.2316491014
383	0.2313625022
384	0.2312268136
385	0.2310565958
386	0.2308494502
387	0.2307895732
388	0.2307107384
389	0.2305643588
390	0.2305158847
391	0.2302717009
392	0.2301994955
393	0.2301439671
394	0.2298431066
395	0.229712672
396	0.2296300593
397	0.2294188048
398	0.2292888711
399	0.2292288494
400	0.2288710245
401	0.2287216007
402	0.228668181
403	0.2285824686
404	0.2284853202
405	0.2283981735
406	0.2283472549
407	0.2281466336
408	0.2280761714
409	0.2280463881
410	0.2278597699
411	0.2277845568
412	0.2275717684
413	0.2274887212
414	0.2274106659
415	0.2273626432
416	0.2270060729
417	0.2267937753
418	0.2266018321
419	0.2265022796
420	0.2263035162
421	0.2262401397
422	0.2261766314
423	0.2260968621
424	0.2260399099
425	0.2258948656
426	0.2257352937
427	0.2256108448
428	0.2252145286
429	0.2250950603
430	0.2250053891
431	0.2247955847
432	0.2247509156
433	0.2246322754
434	0.2244635292
435	0.2242928646
436	0.2242170242
437	0.2240222708
438	0.2238457098
439	0.2237814629
440	0.2237127977
441	0.2236312052
442	0.2235790709
443	0.2235151891
444	0.2234647859
445	0.2233995159
446	0.2233453118
447	0.2231860964
448	0.2230928454
449	0.2230192817
450	0.2229970035
451	0.2229376337
452	0.2226500716
453	0.2226007723
454	0.2225609425
455	0.2224985197
456	0.2222121397
457	0.2220123321
458	0.2219658387
459	0.2218276449
460	0.2216950003
461	0.2216376816
462	0.2214566366
463	0.2213924276
464	0.2211686802
465	0.2210920162
466	0.2210303249
467	0.2207999031
468	0.2207308595
469	0.2206758283
470	0.2205965031
471	0.2205565862
472	0.2202940935
473	0.2202381116
474	0.2201604816
475	0.2200697934
476	0.219980494
477	0.2198944539
478	0.219858908
479	0.2197664373
480	0.2196973646
481	0.2196488393
482	0.2195686116
483	0.2194946099
484	0.219412775
485	0.2192577426
486	0.2192023682
487	0.2190736773
488	0.2189338628
489	0.2188903865
490	0.2186494502
491	0.2185920531
492	0.2183964048
493	0.2183397172
494	0.2183036984
495	0.2181882486
496	0.2181536481
497	0.2181021855
498	0.2180559754
499	0.218004189
500	0.217960021
501	0.217928102
502	0.2178789598
503	0.2178293522
504	0.2176648808
505	0.2176010002
506	0.2174654799
507	0.2174159436
508	0.217372083
509	0.2173192999
510	0.2171829938
511	0.2171345174
512	0.2170963989
513	0.2169727992
514	0.2168913119
515	0.2168518395
516	0.2166976956
517	0.2165369402
518	0.2165107688
519	0.2164942709
520	0.2164587516
521	0.2164264455
522	0.2163229273
523	0.2162938681
524	0.216242015
525	0.2161678289
526	0.2161374668
527	0.2160789516
528	0.215881732
529	0.2158154056
530	0.215779772
531	0.2156789434
532	0.2155769001
533	0.2155141652
534	0.215354298
535	0.2151987938
536	0.2151584045
537	0.2150883684
538	0.215046907
539	0.2150165481
540	0.2149860072
541	0.2148964814
542	0.2148502377
543	0.2148062789
544	0.2146570697
545	0.2146117132
546	0.2145747396
547	0.2144433682
548	0.2143917028
549	0.2143421532
550	0.2142927983
551	0.2142283013
552	0.2141920874
553	0.2141266691
554	0.2138796586
555	0.2138239102
556	0.213798277
557	0.2136707136
558	0.213633863
559	0.2136051588
560	0.2133817962
561	0.2133044694
562	0.2132612744
563	0.213232801
564	0.213144785
565	0.2129737917
566	0.2127514912
567	0.2126957222
568	0.2125227213
569	0.212413715
570	0.2123042855
571	0.2122474466
572	0.2122219166
573	0.2121685919
574	0.2121333778
575	0.2120048077
576	0.2117245971
577	0.2116185821
578	0.2115976718
579	0.2115637212
580	0.2114813094
581	0.2114266062
582	0.2113729649
583	0.2112510976
584	0.211213289
585	0.2111638588
586	0.2109619864
587	0.2106796038
588	0.2106521899
589	0.210620493
590	0.2105877261
591	0.2105630073
592	0.210521525
593	0.2104765288
594	0.2104510389
595	0.2104195466
596	0.2103695451
597	0.2103375493
598	0.2102822155
599	0.2102549052
600	0.2101664885
601	0.2101495891
602	0.2101209529
603	0.2100447202
604	0.2099947555
605	0.2099065316
606	0.2098778061
607	0.2098503557
608	0.2098338752
609	0.2098057333
610	0.2097658595
611	0.2096669807
612	0.2096183513
613	0.209556827
614	0.2095328156
615	0.209423916
616	0.2093969919
617	0.2093593851
618	0.2093302984
619	0.209312422
620	0.2092076781
621	0.2090890072
622	0.2090528407
623	0.2090014099
624	0.2089485482
625	0.2089061514
626	0.2088809571
627	0.2088591758
